env_interactions,score_chron17_0,score_chron17_1,score_chron17_2,score_chron17_3,score_chron17_4
0,-15.74305858150496,-85.68816084782554,-98.06577118056083,-97.53728156583941,-85.7092342869841
50,99.61274477365544,-57.342475560739196,-97.10721247934183,-96.32975853708447,-57.34685137594799
100,99.69284376195785,-57.40095102157827,-97.1106349332316,-96.33410812007811,-57.40413206101924
env_interactions,score_chron17_0,score_chron17_1,score_chron17_2,score_chron17_3,score_chron17_4
0,-15.74305858150496,-85.68816084782554,-98.06577118056083,-97.53728156583941,-85.7092342869841
50,99.61274477365544,-57.342475560739196,-97.10721247934183,-96.32975853708447,-57.34685137594799
100,99.69284376195785,-57.40095102157827,-97.1106349332316,-96.33410812007811,-57.40413206101924
env_interactions,score_chron17_0,score_chron17_1,score_chron17_2,score_chron17_3,score_chron17_4
0,-15.74305858150496,-85.68816084782554,-98.06577118056083,-97.53728156583941,-85.7092342869841
50,99.61274477365544,-57.342475560739196,-97.10721247934183,-96.32975853708447,-57.34685137594799
100,99.69284376195785,-57.40095102157827,-97.1106349332316,-96.33410812007811,-57.40413206101924
